Num	ObsID						Target Name					My RA\ t			CSC RA				My DEC			CSC DEC	Instrument
  40	   4527	               RX J0806.3+1527	  120.706810	  121.596667	   15.808280	  121.596667	  ACIS-S
  40	  23777	                    NSA 104881	  120.706810	  120.119000	   15.808280	  120.119000	  ACIS-S
  42	   6821	               SDSS J0942+0422	  146.514760	  145.508333	    4.403450	  145.508333	  ACIS-S
  42	  10269	       SDSSJ094426.96+042956.8	  146.514760	  146.112083	    4.403450	  146.112083	  ACIS-I
  44	   5519	                  PSR B1133+16	  175.056290	  174.013125	   15.342360	  174.013125	  ACIS-S
  44	  18277	                 MOOJ1142+1527	  175.056290	  175.694167	   15.342360	  175.694167	  ACIS-I
  45	   4875	                      Mrk 1210	  121.699900	  121.024167	    5.309400	  121.024167	  ACIS-S
  45	   9264	                      UGC 4203	  121.699900	  121.024167	    5.309400	  121.024167	  ACIS-S
  45	   9265	                      UGC 4203	  121.699900	  121.024167	    5.309400	  121.024167	  ACIS-S
  45	   9266	                      UGC 4203	  121.699900	  121.024167	    5.309400	  121.024167	  ACIS-S
  45	   9267	                      UGC 4203	  121.699900	  121.024167	    5.309400	  121.024167	  ACIS-S
  45	   9268	                      UGC 4203	  121.699900	  121.024167	    5.309400	  121.024167	  ACIS-S
  45	  10308	                 QSO B0805+046	  121.699900	  121.989583	    5.309400	  121.989583	  ACIS-S
  50	  15337	                QSO J0844+1245	  131.498100	  131.100833	   12.619904	  131.100833	  ACIS-S
  51	  23777	                    NSA 104881	  119.917160	  120.119000	   15.386820	  120.119000	  ACIS-S
  53	  14932	                      NGC 5373	  209.030040	  209.281250	    5.254770	  209.281250	  ACIS-S
  54	   5626	                        3C 191	  120.378210	  121.199583	    9.707640	  121.199583	  ACIS-S
  54	  19318	                       NGC2513	  120.378210	  120.602917	    9.707640	  120.602917	  ACIS-S
  58	  10741	      SDSS J141028.14+135950.2	  212.259650	  212.617250	   14.317005	  212.617250	  ACIS-S
  58	  15353	      SDSS J141141.96+140233.9	  212.259650	  212.925000	   14.317005	  212.925000	  ACIS-S
  59	  21526	           J101629.88+073404.9	  154.582200	  154.124583	    7.049310	  154.124583	  ACIS-I
  60	  10441	              ZwCl 0823.2+0425	  125.671650	  126.490833	    4.262430	  126.490833	  ACIS-I
  60	  15161	                     ZwCl 1665	  125.671650	  125.797917	    4.262430	  125.797917	  ACIS-I
  60	  25056	                     AT2019avd	  125.671650	  125.903198	    4.262430	  125.903198	   HRC-S
  60	  25060	                     AT2019avd	  125.671650	  125.903198	    4.262430	  125.903198	   HRC-S
  61	     76	                    RE 0751+14	  117.859150	  117.822083	   14.020460	  117.822083	   HRC-S
  61	  17866	             3FGL J0749.5+1320	  117.859150	  117.377708	   14.020460	  117.377708	  ACIS-I
  63	  15161	                     ZwCl 1665	  125.144750	  125.797917	    4.615830	  125.797917	  ACIS-I
  64	  18230	                  [SMS2007] 14	  176.439840	  176.698333	   10.824600	  176.698333	  ACIS-S
  64	  20503	            ClG J114820+102108	  176.439840	  177.091250	   10.824600	  177.091250	  ACIS-I
  64	  20516	            ClG J114853+111438	  176.439840	  177.222500	   10.824600	  177.222500	  ACIS-I
  65	  14530	                     LP 497-33	  198.166120	  198.585000	   12.599750	  198.585000	  ACIS-S
  66	  16144	                          A763	  138.671300	  138.124167	   15.461960	  138.124167	  ACIS-I
  67	   5611	               SDSS J1411+1217	  213.132150	  212.797083	   13.304739	  212.797083	  ACIS-S
  67	  10741	      SDSS J141028.14+135950.2	  213.132150	  212.617250	   13.304739	  212.617250	  ACIS-S
